"","Hybrid","Hybrid_Parent1","Hybrid_Parent2","Year"
"130499","W10004_1020/PHK76","W10004_1020","PHK76",2001
"130500","W10004_0116/PHK76","W10004_0116","PHK76",2007
"130501","W10004_0628/PHK76","W10004_0628","PHK76",2002
"130502","W10004_0241/PHK76","W10004_0241","PHK76",2014
"130503","TX951/LH195","TX951","LH195",2002
"130504","W10004_0270/PHK76","W10004_0270","PHK76",2002
"130505","PHB47/PHN82","PHB47","PHN82",2007
"130506","W10004_0396/PHK76","W10004_0396","PHK76",2012
"130507","W10004_0687/PHK76","W10004_0687","PHK76",2021
"130508","W10004_0818/PHK76","W10004_0818","PHK76",2009
"130509","W10004_0150/PHK76","W10004_0150","PHK76",2006
"130510","W10004_0900/PHK76","W10004_0900","PHK76",2008
"130511","PHW52/PHN82","PHW52","PHN82",2008
"130512","W10004_0966/PHK76","W10004_0966","PHK76",2022
"130513","W10004_0844/PHK76","W10004_0844","PHK76",2018
"130514","W10004_1140/PHK76","W10004_1140","PHK76",2018
"130515","W10004_0055/PHK76","W10004_0055","PHK76",2022
"130516","W10004_0112/PHK76","W10004_0112","PHK76",2003
"130517","W10004_0035/PHK76","W10004_0035","PHK76",2010
"130518","W10004_0062/PHK76","W10004_0062","PHK76",2013
"130519","W10004_0848/PHK76","W10004_0848","PHK76",2016
"130520","W10004_0047/PHK76","W10004_0047","PHK76",2002
"130521","W10004_0487/PHK76","W10004_0487","PHK76",2019
"130522","W10004_0637/PHK76","W10004_0637","PHK76",2008
"130523","W10004_0327/PHK76","W10004_0327","PHK76",2008
"130524","W10004_0981/PHK76","W10004_0981","PHK76",2012
"130525","W10004_0616/PHK76","W10004_0616","PHK76",2013
"130526","W10004_1004/PHK76","W10004_1004","PHK76",2019
"130527","W10004_0308/PHK76","W10004_0308","PHK76",2016
"130528","W10004_0417/PHK76","W10004_0417","PHK76",2003
"130529","W10004_0078/PHK76","W10004_0078","PHK76",2012
"130530","W10004_0680/PHK76","W10004_0680","PHK76",2007
"130531","W10004_0236/PHK76","W10004_0236","PHK76",2011
"130532","B14A/H95","B14A","H95",2017
"130533","W10004_0501/PHK76","W10004_0501","PHK76",2013
"130534","W10004_0970/PHK76","W10004_0970","PHK76",2013
"130535","B37/MO17","B37","MO17",2012
"130536","W10004_1081/PHK76","W10004_1081","PHK76",2008
"130537","W10004_0971/PHK76","W10004_0971","PHK76",2010
"130538","W10004_0932/PHK76","W10004_0932","PHK76",2017
"130539","W10004_0013/PHK76","W10004_0013","PHK76",2015
"130540","W10004_0190/PHK76","W10004_0190","PHK76",2018
"130541","W10004_0781/PHK76","W10004_0781","PHK76",2013
"130542","W10004_0336/PHK76","W10004_0336","PHK76",2011
"130543","W10004_0238/PHK76","W10004_0238","PHK76",2010
"130544","PHG39/PHN82","PHG39","PHN82",2006
"130545","W10004_0127/PHK76","W10004_0127","PHK76",2011
"130546","W10004_0888/PHK76","W10004_0888","PHK76",2011
"130547","W10004_0194/PHK76","W10004_0194","PHK76",2012
"130548","W10004_0982/PHK76","W10004_0982","PHK76",2007
"130549","W10004_1011/PHK76","W10004_1011","PHK76",2002
"130550","W10004_0093/PHK76","W10004_0093","PHK76",2016
"130551","W10004_0467/PHK76","W10004_0467","PHK76",2016
"130552","W10004_0134/PHK76","W10004_0134","PHK76",2017
"130553","W10004_0220/PHK76","W10004_0220","PHK76",2007
"130554","TX777/LH195","TX777","LH195",2009
"130555","W10004_0110/PHK76","W10004_0110","PHK76",2006
"130556","W10004_0760/PHK76","W10004_0760","PHK76",2017
"130557","W10004_0122/PHK76","W10004_0122","PHK76",2016
"130558","W10004_0311/PHK76","W10004_0311","PHK76",2014
"130559","W10004_0200/PHK76","W10004_0200","PHK76",2007
"130560","B37/OH43","B37","OH43",2002
"130561","W10004_0889/PHK76","W10004_0889","PHK76",2019
"130562","W10004_1112/PHK76","W10004_1112","PHK76",2019
"130563","W10004_0950/PHK76","W10004_0950","PHK76",2011
"130564","W10004_1099/PHK76","W10004_1099","PHK76",2013
"130565","W10004_0943/PHK76","W10004_0943","PHK76",2002
"130566","W10004_0133/PHK76","W10004_0133","PHK76",2021
"130567","W10004_1015/PHK76","W10004_1015","PHK76",2018
"130568","W10004_1000/PHK76","W10004_1000","PHK76",2003
"130569","W10004_0602/PHK76","W10004_0602","PHK76",2017
"130570","W10004_0006/PHK76","W10004_0006","PHK76",2008
"130572","W10004_0059/PHK76","W10004_0059","PHK76",2012
"130573","W10004_0031/PHK76","W10004_0031","PHK76",2009
"130574","W10004_0171/PHK76","W10004_0171","PHK76",2020
"130575","W10004_0834/PHK76","W10004_0834","PHK76",2008
"130576","W10004_0217/PHK76","W10004_0217","PHK76",2004
"130577","W10004_0644/PHK76","W10004_0644","PHK76",2010
"130578","W10004_1123/PHK76","W10004_1123","PHK76",2018
"130579","W10004_0106/PHK76","W10004_0106","PHK76",2017
"130580","W10004_0879/PHK76","W10004_0879","PHK76",2014
"130581","W10004_0258/PHK76","W10004_0258","PHK76",2016
"130582","W10004_0639/PHK76","W10004_0639","PHK76",2016
"130583","W10004_0409/PHK76","W10004_0409","PHK76",2013
"130584","W10004_0212/PHK76","W10004_0212","PHK76",2009
"130585","W10004_0828/PHK76","W10004_0828","PHK76",2015
"130586","W10004_0661/PHK76","W10004_0661","PHK76",2018
"130587","W10004_0262/PHK76","W10004_0262","PHK76",2009
"130588","B73/MO17","B73","MO17",2022
"130589","F42/H95","F42","H95",2017
"130590","W10004_0664/PHK76","W10004_0664","PHK76",2006
"130591","W10004_0424/PHK76","W10004_0424","PHK76",2012
"130592","B73/PHN82","B73","PHN82",2006
"130594","W10004_0011/PHK76","W10004_0011","PHK76",2005
"130595","W10004_0622/PHK76","W10004_0622","PHK76",2008
"130596","W10004_0794/PHK76","W10004_0794","PHK76",2002
"130597","W10004_0789/PHK76","W10004_0789","PHK76",2020
"130598","W10004_0271/PHK76","W10004_0271","PHK76",2016
"130599","W10004_0253/PHK76","W10004_0253","PHK76",2012
"130600","W10004_0427/PHK76","W10004_0427","PHK76",2011
"130601","PHW52/PHM49","PHW52","PHM49",2016
"130602","W10004_0072/PHK76","W10004_0072","PHK76",2007
"130603","W10004_0756/PHK76","W10004_0756","PHK76",2006
"130604","W10004_0614/PHK76","W10004_0614","PHK76",2006
"130605","W10004_0751/PHK76","W10004_0751","PHK76",2022
"130606","W10004_0268/PHK76","W10004_0268","PHK76",2016
"130607","W10004_0014/PHK76","W10004_0014","PHK76",2013
"130608","W10004_0063/PHK76","W10004_0063","PHK76",2017
"130609","LH74/PHN82","LH74","PHN82",2009
"130610","W10004_0907/PHK76","W10004_0907","PHK76",2015
"130611","W10004_0965/PHK76","W10004_0965","PHK76",2020
"130612","W10004_0714/PHK76","W10004_0714","PHK76",2013
"130613","W10004_0859/PHK76","W10004_0859","PHK76",2002
"130614","W10004_0820/PHK76","W10004_0820","PHK76",2016
"130615","W10004_0856/PHK76","W10004_0856","PHK76",2012
"130616","W10004_0866/PHK76","W10004_0866","PHK76",2010
"130617","W10004_0204/PHK76","W10004_0204","PHK76",2004
"130618","W10004_0412/PHK76","W10004_0412","PHK76",2016
"130619","W10004_0032/PHK76","W10004_0032","PHK76",2018
"130620","W10004_0045/PHK76","W10004_0045","PHK76",2015
"130621","W10004_1057/PHK76","W10004_1057","PHK76",2006
"130622","W10004_0203/PHK76","W10004_0203","PHK76",2006
"130623","W10004_0149/PHK76","W10004_0149","PHK76",2012
"130624","F42/OH43","F42","OH43",2016
"130625","W10004_0988/PHK76","W10004_0988","PHK76",2012
"130626","W10004_0745/PHK76","W10004_0745","PHK76",2003
"130627","W10004_0801/PHK76","W10004_0801","PHK76",2022
"130628","W10004_0276/PHK76","W10004_0276","PHK76",2015
"130629","W10004_0773/PHK76","W10004_0773","PHK76",2013
"130630","W10004_0121/PHK76","W10004_0121","PHK76",2016
"130631","W10004_0754/PHK76","W10004_0754","PHK76",2010
"130632","W10004_0673/PHK76","W10004_0673","PHK76",2002
"130634","W10004_0675/PHK76","W10004_0675","PHK76",2017
"130635","B73/TX779","B73","TX779",2010
"130636","W10004_1104/PHK76","W10004_1104","PHK76",2017
"130637","W10004_0046/PHK76","W10004_0046","PHK76",2005
"130638","W10004_0070/PHK76","W10004_0070","PHK76",2007
"130639","W10004_0146/PHK76","W10004_0146","PHK76",2005
"130640","W10004_1143/PHK76","W10004_1143","PHK76",2020
"130641","W10004_0713/PHK76","W10004_0713","PHK76",2014
"130642","TX714/TX779","TX714","TX779",2011
"130643","W10004_0144/PHK76","W10004_0144","PHK76",2022
"130644","W10004_0651/PHK76","W10004_0651","PHK76",2012
"130645","W10004_0026/PHK76","W10004_0026","PHK76",2001
"130646","W10004_0876/PHK76","W10004_0876","PHK76",2001
"130647","W10004_0362/PHK76","W10004_0362","PHK76",2005
"130648","W10004_0310/PHK76","W10004_0310","PHK76",2022
"130649","W10004_0256/PHK76","W10004_0256","PHK76",2006
"130650","W10004_0685/PHK76","W10004_0685","PHK76",2019
"130651","B14A/MO17","B14A","MO17",2017
"130652","W10004_0290/PHK76","W10004_0290","PHK76",2008
"130653","W10004_0984/PHK76","W10004_0984","PHK76",2012
"130654","W10004_0292/PHK76","W10004_0292","PHK76",2016
"130655","W10004_0098/PHK76","W10004_0098","PHK76",2010
"130656","W10004_0991/PHK76","W10004_0991","PHK76",2003
"130657","W10004_0168/PHK76","W10004_0168","PHK76",2022
"130659","CG44/CGR01","CG44","CGR01",2002
"130660","W10004_0064/PHK76","W10004_0064","PHK76",2009
"130661","W10004_0034/PHK76","W10004_0034","PHK76",2011
"130662","W10004_0734/PHK76","W10004_0734","PHK76",2004
"130663","W10004_0192/PHK76","W10004_0192","PHK76",2020
"130664","B37/H95","B37","H95",2022
"130665","W10004_0086/PHK76","W10004_0086","PHK76",2002
"130666","W10004_0819/PHK76","W10004_0819","PHK76",2017
"130667","W10004_0309/PHK76","W10004_0309","PHK76",2009
"130668","W10004_0775/PHK76","W10004_0775","PHK76",2018
"130669","W10004_0254/PHK76","W10004_0254","PHK76",2002
"130670","W10004_0812/PHK76","W10004_0812","PHK76",2007
"130671","W10004_0620/PHK76","W10004_0620","PHK76",2020
"130672","W10004_0042/PHK76","W10004_0042","PHK76",2010
"130673","W10004_0928/PHK76","W10004_0928","PHK76",2018
"130674","W10004_0007/PHK76","W10004_0007","PHK76",2004
"130676","W10004_0802/PHK76","W10004_0802","PHK76",2017
"130677","W10004_0833/PHK76","W10004_0833","PHK76",2003
"130678","W10004_0632/PHK76","W10004_0632","PHK76",2004
"130679","W10004_0403/PHK76","W10004_0403","PHK76",2019
"130680","W10004_0877/PHK76","W10004_0877","PHK76",2003
"130681","W10004_0179/PHK76","W10004_0179","PHK76",2012
"130682","W10004_0682/PHK76","W10004_0682","PHK76",2019
"130683","W10004_0914/PHK76","W10004_0914","PHK76",2012
"130684","W10004_0076/PHK76","W10004_0076","PHK76",2002
"130685","W10004_0087/PHK76","W10004_0087","PHK76",2019
"130686","W10004_0394/PHK76","W10004_0394","PHK76",2020
"130687","W10004_0097/PHK76","W10004_0097","PHK76",2002
"130688","B14A/OH43","B14A","OH43",2016
"130689","W10004_0624/PHK76","W10004_0624","PHK76",2007
"130690","W10004_0612/PHK76","W10004_0612","PHK76",2020
"130691","W10004_0807/PHK76","W10004_0807","PHK76",2018
"130692","W10004_0806/PHK76","W10004_0806","PHK76",2001
"130693","W10004_0667/PHK76","W10004_0667","PHK76",2019
"130694","W10004_0827/PHK76","W10004_0827","PHK76",2011
"130695","W10004_0071/PHK76","W10004_0071","PHK76",2014
"130696","W10004_0768/PHK76","W10004_0768","PHK76",2005
"130697","W10004_0167/PHK76","W10004_0167","PHK76",2018
"130698","W10004_0148/PHK76","W10004_0148","PHK76",2010
"130699","W10004_0166/PHK76","W10004_0166","PHK76",2016
"130700","W10004_1118/PHK76","W10004_1118","PHK76",2004
"130701","W10004_0068/PHK76","W10004_0068","PHK76",2002
"130702","W10004_0654/PHK76","W10004_0654","PHK76",2006
"130703","W10004_0631/PHK76","W10004_0631","PHK76",2019
"130704","W10004_0101/PHK76","W10004_0101","PHK76",2018
"130705","W10004_0732/PHK76","W10004_0732","PHK76",2002
"130706","W10004_0095/PHK76","W10004_0095","PHK76",2010
"130707","W10004_1002/PHK76","W10004_1002","PHK76",2012
"130708","F42/MO17","F42","MO17",2004
"130709","W10004_0389/PHK76","W10004_0389","PHK76",2019
"130710","W10004_1084/PHK76","W10004_1084","PHK76",2003
"130712","W10004_0702/PHK76","W10004_0702","PHK76",2004
"130713","TX779/LH195","TX779","LH195",2003
"130714","W10004_0618/PHK76","W10004_0618","PHK76",2016
"130715","W10004_0152/PHK76","W10004_0152","PHK76",2004
"130716","W10004_0291/PHK76","W10004_0291","PHK76",2001
"130717","W10004_0199/PHK76","W10004_0199","PHK76",2021
"130718","W10004_0869/PHK76","W10004_0869","PHK76",2019
"130719","W10004_1037/PHK76","W10004_1037","PHK76",2016
"130720","W10004_0196/PHK76","W10004_0196","PHK76",2005
"130721","CG119/CG108","CG119","CG108",2003
"130722","W10004_0038/PHK76","W10004_0038","PHK76",2013
"130723","W10004_0711/PHK76","W10004_0711","PHK76",2003
"130724","W10004_0956/PHK76","W10004_0956","PHK76",2006
"130725","W10004_0103/PHK76","W10004_0103","PHK76",2016
"130726","W10004_0041/PHK76","W10004_0041","PHK76",2015
"130727","W10004_0027/PHK76","W10004_0027","PHK76",2007
"130728","W10004_0383/PHK76","W10004_0383","PHK76",2003
"130729","W10004_0736/PHK76","W10004_0736","PHK76",2001
"130730","W10004_0938/PHK76","W10004_0938","PHK76",2013
"130732","B73/PHM49","B73","PHM49",2010
"130733","W10004_0261/PHK76","W10004_0261","PHK76",2014
"130734","W10004_0746/PHK76","W10004_0746","PHK76",2017
"130735","W10004_0896/PHK76","W10004_0896","PHK76",2005
"130736","W10004_1032/PHK76","W10004_1032","PHK76",2022
"130737","W10004_0465/PHK76","W10004_0465","PHK76",2007
"130738","W10004_0951/PHK76","W10004_0951","PHK76",2005
"130739","W10004_0712/PHK76","W10004_0712","PHK76",2020
"130740","2369/LH123HT","2369","LH123HT",2002
"130741","W10004_0065/PHK76","W10004_0065","PHK76",2017
"130742","W10004_0299/PHK76","W10004_0299","PHK76",2011
"130743","W10004_1018/PHK76","W10004_1018","PHK76",2014
"130744","W10004_0707/PHK76","W10004_0707","PHK76",2012
"130745","W10004_0774/PHK76","W10004_0774","PHK76",2019
"130746","W10004_0658/PHK76","W10004_0658","PHK76",2004
"130747","W10004_0154/PHK76","W10004_0154","PHK76",2020
"130748","LOCAL_CHECK",NA,NA,2007
"130751","W10004_0039/PHK76","W10004_0039","PHK76",2019
"130756","W10004_0832/PHK76","W10004_0832","PHK76",2013
"130758","W10004_0061/PHK76","W10004_0061","PHK76",2007
"130759","W10004_0306/PHK76","W10004_0306","PHK76",2006
"130760","W10004_1072/PHK76","W10004_1072","PHK76",2013
"130764","W10004_0344/PHK76","W10004_0344","PHK76",2018
"130766","W10004_0393/PHK76","W10004_0393","PHK76",2022
"130767","W10004_0225/PHK76","W10004_0225","PHK76",2022
"130769","W10004_1007/PHK76","W10004_1007","PHK76",2004
"130770","W10004_0118/PHK76","W10004_0118","PHK76",2002
"130771","W10004_1117/PHK76","W10004_1117","PHK76",2001
"130775","W10004_0795/PHK76","W10004_0795","PHK76",2007
"130776","W10004_0129/PHK76","W10004_0129","PHK76",2011
"130777","W10004_0953/PHK76","W10004_0953","PHK76",2020
"130780","W10004_0213/PHK76","W10004_0213","PHK76",2020
"130785","W10004_0779/PHK76","W10004_0779","PHK76",2021
"130787","W10004_0474/PHK76","W10004_0474","PHK76",2022
"130791","W10004_0381/PHK76","W10004_0381","PHK76",2004
"130792","W10004_0814/PHK76","W10004_0814","PHK76",2001
"130793","W10004_0380/PHK76","W10004_0380","PHK76",2013
"130794","W10004_0601/PHK76","W10004_0601","PHK76",2001
"130795","W10004_0206/PHK76","W10004_0206","PHK76",2018
"130796","W10004_0410/PHK76","W10004_0410","PHK76",2020
"130798","W10004_0836/PHK76","W10004_0836","PHK76",2004
"130799","W10004_0920/PHK76","W10004_0920","PHK76",2010
"130800","W10004_0800/PHK76","W10004_0800","PHK76",2012
"130802","W10004_0010/PHK76","W10004_0010","PHK76",2022
"130803","W10004_0346/PHK76","W10004_0346","PHK76",2004
"130804","W10004_0842/PHK76","W10004_0842","PHK76",2005
"130806","W10004_1156/PHK76","W10004_1156","PHK76",2017
"130808","W10004_0822/PHK76","W10004_0822","PHK76",2013
"130809","W10004_0264/PHK76","W10004_0264","PHK76",2006
"130813","W10004_0717/PHK76","W10004_0717","PHK76",2014
"130814","W10004_0997/PHK76","W10004_0997","PHK76",2022
"130815","W10004_0843/PHK76","W10004_0843","PHK76",2002
"130816","W10004_0688/PHK76","W10004_0688","PHK76",2002
"130817","W10004_0160/PHK76","W10004_0160","PHK76",2018
"130822","W10004_0949/PHK76","W10004_0949","PHK76",2010
"130824","W10004_0231/PHK76","W10004_0231","PHK76",2004
"130825","W10004_0498/PHK76","W10004_0498","PHK76",2011
"130826","W10004_0886/PHK76","W10004_0886","PHK76",2001
"130827","W10004_0705/PHK76","W10004_0705","PHK76",2003
"130829","W10004_1105/PHK76","W10004_1105","PHK76",2001
"130833","W10004_0672/PHK76","W10004_0672","PHK76",2007
"130834","W10004_0727/PHK76","W10004_0727","PHK76",2020
"130835","W10004_0696/PHK76","W10004_0696","PHK76",2006
"130836","W10004_0115/PHK76","W10004_0115","PHK76",2012
"130837","W10004_0053/PHK76","W10004_0053","PHK76",2003
"130838","W10004_0787/PHK76","W10004_0787","PHK76",2019
"130839","W10004_0847/PHK76","W10004_0847","PHK76",2002
"130840","W10004_0733/PHK76","W10004_0733","PHK76",2007
"130841","W10004_1014/PHK76","W10004_1014","PHK76",2017
"130843","W10004_0799/PHK76","W10004_0799","PHK76",2012
"130844","W10004_0996/PHK76","W10004_0996","PHK76",2020
"130845","W10004_0140/PHK76","W10004_0140","PHK76",2020
"130847","W10004_0697/PHK76","W10004_0697","PHK76",2004
"130851","W10004_0913/PHK76","W10004_0913","PHK76",2016
"130852","W10004_0916/PHK76","W10004_0916","PHK76",2018
"130855","W10004_0678/PHK76","W10004_0678","PHK76",2021
"130856","W10004_0963/PHK76","W10004_0963","PHK76",2014
"130857","W10004_0619/PHK76","W10004_0619","PHK76",2018
"130859","W10004_0361/PHK76","W10004_0361","PHK76",2018
"130860","W10004_0782/PHK76","W10004_0782","PHK76",2002
"130862","W10004_0695/PHK76","W10004_0695","PHK76",2018
"130863","W10004_0891/PHK76","W10004_0891","PHK76",2012
"130864","W10004_0837/PHK76","W10004_0837","PHK76",2014
"130865","W10004_0147/PHK76","W10004_0147","PHK76",2002
"130868","W10004_0723/PHK76","W10004_0723","PHK76",2007
"130869","W10004_0918/PHK76","W10004_0918","PHK76",2006
"130870","W10004_0935/PHK76","W10004_0935","PHK76",2003
"130871","W10004_0227/PHK76","W10004_0227","PHK76",2006
"130872","W10004_0940/PHK76","W10004_0940","PHK76",2007
"130875","W10004_0703/PHK76","W10004_0703","PHK76",2003
"130877","W10004_0741/PHK76","W10004_0741","PHK76",2002
"130880","W10004_0080/PHK76","W10004_0080","PHK76",2013
"130881","W10004_0018/PHK76","W10004_0018","PHK76",2014
"130883","W10004_0178/PHK76","W10004_0178","PHK76",2017
"130884","W10004_0625/PHK76","W10004_0625","PHK76",2012
"130885","W10004_0892/PHK76","W10004_0892","PHK76",2016
"130887","W10004_0329/PHK76","W10004_0329","PHK76",2010
"130888","W10004_0955/PHK76","W10004_0955","PHK76",2002
"130889","W10004_0224/PHK76","W10004_0224","PHK76",2002
"130891","W10004_0197/PHK76","W10004_0197","PHK76",2007
"130893","W10004_0505/PHK76","W10004_0505","PHK76",2005
"130894","W10004_0649/PHK76","W10004_0649","PHK76",2019
"130896","W10004_0691/PHK76","W10004_0691","PHK76",2014
"130897","W10004_0840/PHK76","W10004_0840","PHK76",2021
"130898","W10004_0073/PHK76","W10004_0073","PHK76",2020
"130899","W10004_0783/PHK76","W10004_0783","PHK76",2015
"130902","W10004_0901/PHK76","W10004_0901","PHK76",2008
"130903","W10004_0974/PHK76","W10004_0974","PHK76",2020
"130906","W10004_0169/PHK76","W10004_0169","PHK76",2019
"130908","W10004_0975/PHK76","W10004_0975","PHK76",2007
"130911","W10004_0885/PHK76","W10004_0885","PHK76",2022
"130912","W10004_0092/PHK76","W10004_0092","PHK76",2018
"130916","W10004_0626/PHK76","W10004_0626","PHK76",2019
"130918","W10004_0223/PHK76","W10004_0223","PHK76",2004
"130920","W10004_0646/PHK76","W10004_0646","PHK76",2008
"130922","W10004_0689/PHK76","W10004_0689","PHK76",2006
"130923","W10004_0037/PHK76","W10004_0037","PHK76",2003
"130924","W10004_0395/PHK76","W10004_0395","PHK76",2007
"130928","W10004_1045/PHK76","W10004_1045","PHK76",2016
"130930","W10004_0894/PHK76","W10004_0894","PHK76",2004
"130931","W10004_1080/PHK76","W10004_1080","PHK76",2016
"130932","W10004_0099/PHK76","W10004_0099","PHK76",2009
"130938","W10004_0153/PHK76","W10004_0153","PHK76",2013
"130941","W10004_0884/PHK76","W10004_0884","PHK76",2016
"130942","W10004_0419/PHK76","W10004_0419","PHK76",2021
"130944","W10004_0185/PHK76","W10004_0185","PHK76",2013
"130947","W10004_0823/PHK76","W10004_0823","PHK76",2003
"130948","W10004_0684/PHK76","W10004_0684","PHK76",2004
"130949","W10004_0826/PHK76","W10004_0826","PHK76",2004
"130951","W10004_0430/PHK76","W10004_0430","PHK76",2004
"130953","W10004_0069/PHK76","W10004_0069","PHK76",2019
"130955","W10004_0659/PHK76","W10004_0659","PHK76",2003
"130956","W10004_0079/PHK76","W10004_0079","PHK76",2015
"130957","W10004_0930/PHK76","W10004_0930","PHK76",2007
"130958","W10004_0608/PHK76","W10004_0608","PHK76",2016
"130960","W10004_0815/PHK76","W10004_0815","PHK76",2010
"130961","W10004_1052/PHK76","W10004_1052","PHK76",2004
"130962","W10004_0792/PHK76","W10004_0792","PHK76",2005
"130964","W10004_0138/PHK76","W10004_0138","PHK76",2020
"130965","W10004_0757/PHK76","W10004_0757","PHK76",2011
"130968","W10004_1063/PHK76","W10004_1063","PHK76",2001
"130970","W10004_0132/PHK76","W10004_0132","PHK76",2014
"130971","W10004_0669/PHK76","W10004_0669","PHK76",2007
"130972","W10004_0476/PHK76","W10004_0476","PHK76",2017
"130973","W10004_0798/PHK76","W10004_0798","PHK76",2015
"130974","W10004_0868/PHK76","W10004_0868","PHK76",2016
"130976","W10004_0747/PHK76","W10004_0747","PHK76",2004
"130978","W10004_0701/PHK76","W10004_0701","PHK76",2016
"130982","W10004_0715/PHK76","W10004_0715","PHK76",2003
"130984","W10004_0008/PHK76","W10004_0008","PHK76",2001
"130985","W10004_0119/PHK76","W10004_0119","PHK76",2006
"130986","W10004_0771/PHK76","W10004_0771","PHK76",2019
"130990","W10004_1064/PHK76","W10004_1064","PHK76",2014
"130992","W10004_0729/PHK76","W10004_0729","PHK76",2018
"130994","W10004_0803/PHK76","W10004_0803","PHK76",2008
"130995","W10004_0221/PHK76","W10004_0221","PHK76",2011
"130997","W10004_0969/PHK76","W10004_0969","PHK76",2022
"130998","W10004_0830/PHK76","W10004_0830","PHK76",2021
"131000","LH195/MO17","LH195","MO17",2009
"131001","LH244/PHZ51","LH244","PHZ51",2005
"131003","B73/PHK76","B73","PHK76",2016
"131004","PHG29/PHG47","PHG29","PHG47",2005
"131005","PHB47/PHZ51","PHB47","PHZ51",2017
"131007","LH244/MO17","LH244","MO17",2004
"131008","LH195/PHN82","LH195","PHN82",2020
"131009","PHB47/PHK76","PHB47","PHK76",2017
"131010","B73/PHZ51","B73","PHZ51",2011
"131011","PHB47/MO17","PHB47","MO17",2001
"131012","LH145/LH82","LH145","LH82",2020
